country,sex,age_group,population_000
afg,m,35_54,1692.8570556640625
afg,m,55_64,395.6990051269531
afg,m,65_plus,244.47999572753906
afg,f,15_plus,5885.5439453125
afg,f,15_24,2222.180908203125
afg,f,15_64,5617.63818359375
afg,f,25_54,2985.8779296875
afg,f,25_34,1425.02001953125
afg,f,35_54,1560.8580322265625
afg,f,55_64,409.5790100097656
afg,f,65_plus,267.906005859375
afg,mf,15_plus,12787.40234375
afg,mf,15_24,4841.501953125
afg,mf,15_64,12256.44921875
afg,mf,25_54,6571.53369140625
afg,mf,25_34,3196.6328125
afg,mf,35_54,3374.90087890625
afg,mf,55_64,843.4130249023438
afg,mf,65_plus,530.9539794921875
afg,m,15_plus,6643.9521484375
afg,m,15_24,2516.5029296875
afg,m,15_64,6390.66796875
afg,m,25_54,3460.702880859375
afg,m,25_34,1698.375
afg,m,35_54,1762.3280029296875
afg,m,55_64,413.4620056152344
afg,m,65_plus,253.28399658203125
afg,f,15_plus,6143.451171875
afg,f,15_24,2324.9990234375
afg,f,15_64,5865.78076171875
afg,f,25_54,3110.8310546875
afg,f,25_34,1498.258056640625
afg,f,35_54,1612.572998046875
afg,f,55_64,429.95098876953125
afg,f,65_plus,277.6700134277344
afg,mf,15_plus,13171.9541015625
afg,mf,15_24,4939.1240234375
afg,mf,15_64,12618.66796875
afg,mf,25_54,6804.68896484375
afg,mf,25_34,3320.6630859375
afg,mf,35_54,3484.02587890625
afg,mf,55_64,874.85498046875
afg,mf,65_plus,553.2860107421875
afg,m,15_plus,6831.3330078125
afg,m,15_24,2560.8291015625
afg,m,15_64,6566.962890625
afg,m,25_54,3578.123046875
afg,m,25_34,1758.115966796875
afg,m,35_54,1820.0069580078125
afg,m,55_64,428.010986328125
afg,m,65_plus,264.3699951171875
afg,f,15_plus,6340.62109375
afg,f,15_24,2378.294921875
afg,f,15_64,6051.705078125
afg,f,25_54,3226.56591796875
afg,f,25_34,1562.5469970703125
afg,f,35_54,1664.01904296875
afg,f,55_64,446.843994140625
afg,f,65_plus,288.9159851074219
afg,mf,15_plus,13511.4921875
afg,mf,15_24,5017.205078125
afg,mf,15_64,12938.748046875
afg,mf,25_54,7018.44287109375
afg,mf,25_34,3431.998046875
afg,mf,35_54,3586.445068359375
afg,mf,55_64,903.0999755859375
afg,mf,65_plus,572.7440185546875
afg,m,15_plus,6991.43994140625
afg,m,15_24,2595.761962890625
afg,m,15_64,6717.4677734375
afg,m,25_54,3680.344970703125
afg,m,25_34,1808.3079833984375
afg,m,35_54,1872.0369873046875
afg,m,55_64,441.3609924316406
afg,m,65_plus,273.97198486328125
afg,f,15_plus,6520.0517578125
afg,f,15_24,2421.443115234375
afg,f,15_64,6221.27978515625
afg,f,25_54,3338.097900390625
afg,f,25_34,1623.68994140625
afg,f,35_54,1714.407958984375
afg,f,55_64,461.739013671875
afg,f,65_plus,298.7720031738281
afg,mf,15_plus,13841.3095703125
afg,mf,15_24,5096.283203125
afg,mf,15_64,13250.068359375
afg,mf,25_54,7224.080078125
afg,mf,25_34,3534.2490234375
afg,mf,35_54,3689.8310546875
afg,mf,55_64,929.7050170898438
afg,mf,65_plus,591.2420043945312
afg,m,15_plus,7145.51708984375
afg,m,15_24,2632.9140625
afg,m,15_64,6862.7587890625
afg,m,25_54,3775.387939453125
afg,m,25_34,1851.9310302734375
afg,m,35_54,1923.45703125
afg,m,55_64,454.4570007324219
afg,m,65_plus,282.75799560546875
afg,f,15_plus,6695.79296875
